Category,Description,Material cost per unit,Labor cost per unit,Lump sum cost,Manhours per unit,Equipment cost per unit,Unit of measure,Crew code and detail,Crew Code
Build and hang a wood fence gate,Nail frame together,0.1,3.33,3.43,0.1,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Square up and measure 4' diagonal brace,2.81,1.67,4.48,0.05,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Cut cross brace and nail in place,5.63,2.76,8.39,0.083,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Square up and add metal corner brackets,1.75,11.1,12.85,0.333,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Mark top pattern on face boards,,4.43,4.43,0.133,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Cut top pattern on face boards,,2.96,2.96,0.089,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Set hinges on gate and fence post,8.71,8.33,17.04,0.25,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Set latch on gate and strike on fence post,9.11,3.33,12.44,0.1,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,Check and adjust as needed,,4.16,4.16,0.125,,Ea,BL: [33.31] - (Building Laborer),BL
Build and hang a wood fence gate,"Build and hang wood fence gate, total",35.85,50.4,86.25,1.51,,Ea,BL: [33.31] - (Building Laborer),BL
Basketweave fence,"Tight weave, 4' high, posts at 4' OC",22.1,12.3,34.4,0.332,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"Tight weave, 6' high, posts at 4' OC",26.1,19.4,45.5,0.522,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"Wide span, 4' high, posts at 8' OC",13,10.8,23.8,0.291,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"Wide span, 8' high, posts at 8' OC",16.8,17.9,34.7,0.481,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"4' high gate, tight weave",97.3,33.7,131,0.906,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"4' high gate, wide span",115,33.7,148.7,0.906,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"6' high gate, tight weave",57.4,41.3,98.7,1.11,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Basketweave fence,"8' high gate, wide span",74,46.9,120.9,1.26,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x4"" southern pine fence","6' high, 2 rail, wood posts",8.45,9.93,18.38,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x4"" southern pine fence","6' high, 2 rail, metal posts",10.7,10.3,21,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 1: x 4"" board fence","6' high, 2 rail, wood posts",15.2,9.93,25.13,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 1: x 4"" board fence","8' high, 2 rail, wood posts",17.8,9.93,27.73,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 1: x 4"" board fence","6' high, 2 rail, metal posts",17.4,10.3,27.7,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 1: x 4"" board fence","8' high, 2 rail, metal posts",19.8,10.3,30.1,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 4"" board fence","6' high, 2 rail, wood posts",12.3,9.93,22.23,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 4"" board fence","6' high, 2 rail, metal posts",14.5,10.3,24.8,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Whitewoods 1"" x 4"" board fence","6' high, 2 rail, wood posts",10.1,9.93,20.03,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Whitewoods 1"" x 4"" board fence","8' high, 2 rail, wood posts",10.2,9.93,20.13,0.267,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Whitewoods 1"" x 4"" board fence","6' high, 2 rail, metal posts",12.3,10.3,22.6,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Whitewoods 1"" x 4"" board fence","8' high, 2 rail, metal posts",12.4,10.3,22.7,0.276,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x 6"" southern pine fence","6' high, 2 rail, wood posts",10,8.96,18.96,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x 6"" southern pine fence","8' high, 2 rail, wood posts",11.7,8.96,20.66,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x 6"" southern pine fence","6' high, 2 rail, metal posts",12.2,9.3,21.5,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Pressure treated 1"" x 6"" southern pine fence","8' high, 2 rail, metal posts",14,9.3,23.3,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 9/16"" x 6"" board fence","6' high, 2 rail, wood posts",10.7,8.96,19.66,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 9/16"" x 6"" board fence","8' high, 2 rail, wood posts",16.2,8.96,25.16,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 9/16"" x 6"" board fence","6' high, 2 rail, metal posts",12.9,9.3,22.2,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Cedar 9/16"" x 6"" board fence","8' high, 2 rail, metal posts",18.4,9.3,27.7,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 6"" board fence","6' high, 2 rail, wood posts",22,8.96,30.96,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 6"" board fence","8' high, 2 rail, wood posts",16.2,8.96,25.16,0.241,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 6"" board fence","6' high, 2 rail, metal posts",24.2,9.3,33.5,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Redwood 3/4"" x 6"" board fence","8' high, 2 rail, metal posts",36.9,9.3,46.2,0.25,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Split rail fence,"Split 2"" x 4"" rails, 3' high, 2 rail",9.03,3.53,12.56,0.095,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Split rail fence,"Split 2"" x 4"" rails, 4' high, 3 rail",10.4,3.79,14.19,0.102,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Split rail fence,"Rustic 4"" round, 3' high, 2 rail",11,3.53,14.53,0.095,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Split rail fence,"Rustic 4"" round, 4' high, 3 rail",12.6,3.79,16.39,0.102,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Pressure treated southern pine picket fence,"3' high, 2 rail",3.09,10,13.09,0.27,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Pressure treated southern pine picket fence,"5' high, 3 rail",4.2,14.3,18.5,0.385,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Pressure treated southern pine picket fence,3' high gate,13.5,28.6,42.1,0.77,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Pressure treated southern pine picket fence,5' high gate,18.5,33,51.5,0.887,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Red cedar picket fence,"3' high, 2 rail",6.06,10,16.06,0.27,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Red cedar picket fence,"5' high, 3 rail",8.31,14.3,22.61,0.385,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Red cedar picket fence,3' high gate,26.5,28.6,55.1,0.77,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Red cedar picket fence,5' high gate,36.5,33,69.5,0.887,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Redwood picket fence,"3' high, 2 rail",7.66,10,17.66,0.27,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Redwood picket fence,"5' high, 3 rail",10,14.3,24.3,0.385,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Redwood picket fence,3' high gate,33.6,28.6,62.2,0.77,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Redwood picket fence,5' high gate,43.8,33,76.8,0.887,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,"Latch, standard duty",5.93,10.5,16.43,0.281,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,"Latch, heavy duty",19.9,10.5,30.4,0.281,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,Slide bolt,7.27,10.5,17.77,0.281,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,"Hinges, standard, per pair",8.54,13.9,22.44,0.374,,Pr,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,"Hinges, heavy duty, per pair",12.9,13.9,26.8,0.374,,Pr,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,No-sag cable kit,14.9,10.5,25.4,0.281,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Picket fence gate hardware,Self closing spring,16.9,10.5,27.4,0.281,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Aluminum fencing,"48"" high panel",123,5.66,128.66,0.17,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fencing,"54"" pool code compliant panel",134,5.66,139.66,0.17,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fencing,"60"" high panel",147,5.66,152.66,0.17,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fencing,"72"" high panel",186,5.66,191.66,0.17,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fence posts,"48"" high",45.3,27.6,72.9,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fence posts,"54"" high",49.1,27.6,76.7,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fence posts,"60"" high",49.5,27.6,77.1,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum fence posts,"72"" high",65.4,27.6,93,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum single swing gates,"48"" high",519,5.83,524.83,0.175,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum single swing gates,"54"" high",424,5.83,429.83,0.175,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum single swing gates,"60"" high",414,5.83,419.83,0.175,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum single swing gates,"72"" high",463,5.83,468.83,0.175,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum gate posts,"48"" high",79,27.6,106.6,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum gate posts,"54"" high",88.9,27.6,116.5,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum gate posts,"60"" high",89.2,27.6,116.8,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum gate posts,"72"" high",100,27.6,127.6,0.83,,Ea,BL: [33.31] - (Building Laborer),BL
Aluminum gate posts,Add for setting post in concrete,4.54,11,15.54,0.33,,Ea,BL: [33.31] - (Building Laborer),BL
"Vinyl 1-1/2"" picket fence",4' high,22.9,4.09,26.99,0.11,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Vinyl 1-1/2"" picket fence","Gate with 4"" posts",448,37.2,485.2,1,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Vinyl 1-1/2"" picket fence",Add for additional fence post with top,28.3,18.6,46.9,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Vinyl 3-1/2"" picket fence",4' high,22.9,4.09,26.99,0.11,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Vinyl 3-1/2"" picket fence","Gate with 4"" posts",448,37.2,485.2,1,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
"Vinyl 3-1/2"" picket fence",Add for additional fence post with top,28.3,18.6,46.9,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl shadowbox fence,4' high,27.2,4.83,32.03,0.13,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl shadowbox fence,5' high,28.8,5.21,34.01,0.14,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl shadowbox fence,6' high,30.7,5.21,35.91,0.14,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl shadowbox fence,"Gate with 4"" posts",568,44.6,612.6,1.2,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl shadowbox fence,Add for additional fence post with top,31.7,18.6,50.3,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl privacy fence,6' high,39,5.21,44.21,0.14,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl privacy fence,"6' x 44"" high gate",499,44.6,543.6,1.2,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl privacy fence,Add for additional fence post with top,41.1,18.6,59.7,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"42"" high, 2 rail, 4"" routed post",6.05,4.09,10.14,0.11,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"48"" high, 3 rail, 4"" routed post",7.5,4.46,11.96,0.12,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"54"" high, 4 rail, 5"" routed post",9.44,4.46,13.9,0.12,,LF,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"48"" gate with 4"" posts",258,37.2,295.2,1,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"54"" gate with 5"" posts",305,37.2,342.2,1,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"Add for additional 4"" fence post with top",20.2,18.6,38.8,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Vinyl post & rail fence,"Add for additional 5"" fence post with top",25.4,18.6,44,0.5,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Silt fence,"3' high, 100 LF roll",0.53,1,1.53,0.03,,LF,BL: [33.31] - (Building Laborer),BL
Corrugated polycarbonate panels,"Polycarbonate, 26"" wide, gray or white",1.77,0.49,2.26,0.012,,SF,BC: [41.06] - (Carpenter),BC
Corrugated polycarbonate panels,"Polycarbonate, 26"" wide, clear",1.77,0.49,2.26,0.012,,SF,BC: [41.06] - (Carpenter),BC
Corrugated polycarbonate panels,"PVC, 26"" wide panels",1.28,0.49,1.77,0.012,,SF,BC: [41.06] - (Carpenter),BC
Corrugated fiberglass panels,"Fiberglass, 26"" wide, gray or white",4.3,0.49,4.79,0.012,,SF,BC: [41.06] - (Carpenter),BC
Corrugated fiberglass panels,"Fiberglass, 26"" wide, clear",4.3,0.49,4.79,0.012,,SF,BC: [41.06] - (Carpenter),BC
Flat fiberglass panels,".06"" flat sheets, 4' x 8', 10', 12'",4.94,0.49,5.43,0.012,,SF,BC: [41.06] - (Carpenter),BC
Flat fiberglass panels,".03"" rolls, 24"", 36"", 48"" x 50'",4.67,0.49,5.16,0.012,,SF,BC: [41.06] - (Carpenter),BC
Flat fiberglass panels,".037"" rolls, 24"", 36"", 48"" x 50'",4.45,0.49,4.94,0.012,,SF,BC: [41.06] - (Carpenter),BC
Nails for panels,100 per box (covers 130 SF),7.04,,7.04,,,CSF,,
Self-tapping screws for panels,100 per box (covers 130 SF),6.2,,6.2,,,CSF,,
Horizontal closure strips for corrugated panels,"Molded plastic, 3/4"" x 1-1/4""",0.76,,0.76,,,LF,,
Horizontal closure strips for corrugated panels,"Wood, 3/4"" x 13/16""",0.91,,0.91,,,LF,,
Horizontal closure strips for corrugated panels,"Poly-foam, 15/16"" x 3/4""",0.67,,0.67,,,LF,,
Horizontal closure strips for corrugated panels,"Rubber, 1"" x 1""",0.88,,0.88,,,LF,,
Vertical crown molding for fiberglass panels,"Redwood, 1-1/2"" x 1"" or poly-foam, 1"" x 1""",0.63,,0.63,,,LF,,
Vertical crown molding for fiberglass panels,"Rubber, 1"" x 1""",1.62,,1.62,,,LF,,
Ridge cap flashing for currugated panels,"Polycarbonate, 48"" long",7.26,,7.26,,,LF,,
Ornamental iron handrail,"36"" high railing for single family dwelling",,,51.3,,,LF,,
Ornamental iron handrail,"42"" high apartment style railing",,,40.9,,,LF,,
Ornamental iron handrail,Add for inclined runs,,,9.42,,,LF,,
Ornamental iron pool fence,"5' high, 4-1/2"" centers",,,51.3,,,LF,,
Ornamental iron pool fence,"Add for gate, with self-closer and latch",,,241,,,LS,,
Fabricate fire sprinkler systems,"Single residence, slab foundation",,,1.56,,,SF,,
Fabricate fire sprinkler systems,"Single residence, crawl space foundation",,,1.79,,,SF,,
Fabricate fire sprinkler systems,Single residence with basement,,,1.93,,,SF,,
Fabricate fire sprinkler systems,Tract work or multi-family residence,,,1.64,,,SF,,
Fabricate fire sprinkler systems,Add if copper pipe is required,,,1.93,,,SF,,
Fabricate fire sprinkler systems,Add if a booster pump is required (well water),,,3970,,,LS,,
Masonry fireplaces,"30"" wide x 29"" high x 16"" deep fire box",783,1450,2233,39.7,,LS,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"36"" wide x 29"" high x 16"" deep fire box",826,1590,2416,43.5,,LS,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"42"" wide x 32"" high x 16"" deep fire box",913,1760,2673,48.3,,LS,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"48"" wide x 32"" high x 18"" deep fire box",1000,1920,2920,52.8,,LS,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"12"" x 12"" chimney to 12' high",464,346,810,9.5,,LS,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"Add for higher chimney, per LF",63.3,47.4,110.7,1.3,,LF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"Add for 8"" x 10"" ash cleanout door",25.6,18.2,43.8,0.5,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,Add for combustion air inlet kit,38.5,27.3,65.8,0.75,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,Add for common brick veneer interior face,5.79,16.4,22.19,0.451,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,Add for rubble or cobble stone veneer face,15.8,17.5,33.3,0.48,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,Add for limestone veneer face or hearth,29.9,16.4,46.3,0.451,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"Add for 1-1/4"" marble face or hearth",45,16.4,61.4,0.451,,SF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Masonry fireplaces,"Add for modern design 11"" x 77"" pine mantel",887,142,1029,3.81,,Ea,"B1: [37.19] - (1 Building Laborer, 1 Building Carpenter)",B1
Masonry fireplaces,"Add for gas valve, log lighter and key",104,36,140,0.75,,Ea,PM: [48.00] - (Plumber (Residential)),PM
Angle iron,"3"" x 3"" x 3/16""",7.39,6.09,13.48,0.167,,LF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Ash drops,"16-3/4"" x 12-1/2"" x 8""",121,27.3,148.3,0.75,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Ash dumps,"5-3/8"" x 9-1/2"" overall",29.5,18.2,47.7,0.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Ash dumps,"5-3/8"" x 9-1/2"" overall, vented",59,18.2,77.2,0.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney anchors,"48"" x 1-1/2"" x 3/16""",18.3,,18.3,,,Pr,,
Chimney anchors,"72"" x 1-1/2"" x 3/16""",24.4,,24.4,,,Pr,,
Cleanout doors,"8"" wide x 8"" high",81.5,18.2,99.7,0.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Cleanout doors,"12"" wide x 10"" high",137,18.2,155.2,0.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Cleanout doors,"12"" wide x 12"" high",160,18.2,178.2,0.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"14"" high, 25"" to 30"" wide, 10"" deep, 25 lbs",84.5,48.5,133,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"14"" high, 36"" wide, 10"" deep, 31 lbs",91.5,48.5,140,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"14"" high, 42"" wide, 10"" deep, 38 lbs",112,48.5,160.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"14"" high, 48"" wide, 10"" deep, 43 lbs",144,63.8,207.8,1.75,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"16"" high, 54"" wide, 13"" deep, 66 lbs",248,91.1,339.1,2.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"16"" high, 60"" wide, 13"" deep, 74 lbs",299,91.1,390.1,2.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for single opening firebox,"16"" high, 72"" wide, 13"" deep, 87 lbs",359,91.1,450.1,2.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for multiple or corner opening firebox,"35"" wide",347,48.5,395.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for multiple or corner opening firebox,"41"" wide",395,48.5,443.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Dampers for multiple or corner opening firebox,"47"" wide",507,63.8,570.8,1.75,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"8"" x 8""",290,48.5,338.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"8"" x 13"", with 3/4"" mesh",413,48.5,461.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"8"" x 17""",376,48.5,424.5,1.33,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"13"" x 13""",297,63.8,360.8,1.75,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"13"" x 17""",427,91.1,518.1,2.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Chimney-top dampers,"17"" x 17""",509,91.1,600.1,2.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Fuel grates,"27"" with 5/8"" bar",184,,184,,,Ea,,
Fuel grates,"30"" with 3/4"" bar",206,,206,,,Ea,,
Fuel grates,"36"" with 3/4"" bar",265,,265,,,Ea,,
Factory-built wood-burning fireplace,"36"" wide",1100,128,1228,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"42"" wide",1690,128,1818,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"50"" wide",4910,146,5056,4,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"36"" wide, 1 open end",2420,128,2548,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"36"" wide, 3 open sides",3380,146,3526,4,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"42"" wide, see-through",3910,146,4056,4,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"25"" wide, EPA Phase II compliant",9010,146,9156,4,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Factory-built wood-burning fireplace,"Add for 8"" Class A vent, per vertical foot",259,9.11,268.11,0.25,,LF,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Gas-burning direct vent fireplace,"39"" high x 36"" wide x 21"" deep",2160,128,2288,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Gas-burning direct vent fireplace,"39"" high x 41"" wide x 19"" deep",2080,128,2208,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Gas-burning direct vent fireplace,"38"" high x 36"" wide x 18"" deep",2900,128,3028,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
Gas-burning direct vent fireplace,"33"" high x 42"" wide x 24"" deep, 1 open end",4730,128,4858,3.5,,Ea,"B9: [36.45] - (1 Building Bricklayer, 1 Building Bricklayer Helper)",B9
